symbol,date,quality_score
DISCA,2016-12-31,0.5185895268698764
DISCK,2013-12-31,0.519593454910588
DISCK,2014-12-31,0.5674774556277022
DISCK,2015-12-31,0.7756152694688836
DISCK,2016-12-31,0.5185895268698764
DLPH,2013-12-31,0.5235625606060159
DLPH,2014-12-31,0.5852743071967292
DLPH,2015-12-31,0.7398748387176559
DLPH,2016-12-31,0.5665420491007275
DLR,2012-12-31,0.41849496292021043
DLR,2013-12-31,0.4637930173186506
DLR,2014-12-31,0.4799676259907455
DLR,2015-12-31,0.7296618822085068
DLTR,2013-02-02,0.8941344026771308
DLTR,2014-02-01,0.9560879548227603
DLTR,2015-01-31,0.633083821315763
DLTR,2016-01-30,0.05719296920265862
DNB,2012-12-31,0.5489694646457283
DNB,2013-12-31,0.5708632349119465
DNB,2014-12-31,0.57780333189968
DNB,2015-12-31,0.764797056832319
DOV,2013-12-31,0.49384746925814577
DOV,2014-12-31,0.6108967954204172
DOV,2015-12-31,0.7459347520330463
DOV,2016-12-31,0.41153518745021916
DPS,2013-12-31,0.5098622164850469
DPS,2014-12-31,0.5691764199986058
DPS,2015-12-31,0.7736758261731601
DPS,2016-12-31,0.5010727129960599
DRI,2013-05-26,0.16269050540590055
DRI,2014-05-25,0.34788570355577875
DRI,2015-05-31,0.4589760908983833
DRI,2016-05-29,0.7765726848219021
DUK,2012-12-31,0.4017938504012004
DUK,2013-12-31,0.4738334885311437
DUK,2014-12-31,0.4976386257549698
DUK,2015-12-31,0.7372480618894781
DVA,2012-12-31,0.45622147968807963
DVA,2013-12-31,0.5370949416344739
DVA,2014-12-31,0.5583844911752306
DVA,2015-12-31,0.7542911614084046
DVN,2013-12-31,0.4092858552169008
DVN,2014-12-31,0.5869425600101216
DVN,2015-12-31,0.4633365299230754
DVN,2016-12-31,0.36590420774237603
EA,2013-03-31,1.3622432537552243e-07
EA,2014-03-31,0.1991591451372648
EA,2015-03-31,0.5490160794636247
EA,2016-03-31,0.5000000073801854
EBAY,2013-12-31,0.4490897962505263
EBAY,2014-12-31,0.5197651587583842
EBAY,2015-12-31,0.8010173535271734
EBAY,2016-12-31,0.39165770963868507
ECL,2012-12-31,0.4494603165195506
ECL,2013-12-31,0.49052301692509875
ECL,2014-12-31,0.5505653359972409
ECL,2015-12-31,0.7516024368619418
ED,2013-12-31,0.4462629670080231
ED,2014-12-31,0.4962258804307974
ED,2015-12-31,0.7396528736561024
ED,2016-12-31,0.448947279641948
EFX,2012-12-31,0.4858906498938483
EFX,2013-12-31,0.5445210167502327
EFX,2014-12-31,0.5753069900632284
EFX,2015-12-31,0.7976503021394656
